Year,All Vietnam,Actual Deportation Vietnam,LIMBO Vietnam,All Cambodia,Actual Deportation Cambodia,LIMBO Cambodia,All Laos,Actual Deportation Laos,LIMBO Laos,Actual Deporatation SE Asia,TOTAL Deport,LIMBO SE Asia,TOTAL LIMBO
1998,578,0,578,141,0,141,334,0,334,0,0,1053,1053
1999,690,0,690,131,0,131,317,0,317,0,0,1138,2191
2000,756,0,756,135,0,135,358,0,358,0,0,1249,3440
2001,586,0,586,118,0,118,290,0,290,0,0,994,4434
2002,484,19,465,111,24,87,257,6,251,49,49,803,5237
2003,565,28,537,123,66,57,260,15,245,109,158,839,6076
2004,579,33,546,138,70,68,298,14,284,117,267,898,6974
2005,463,27,436,155,51,104,225,12,213,90,376,753,7727
2006,451,41,410,163,27,136,243,12,231,80,485,777,8504
2007,481,27,454,178,29,149,228,19,209,75,594,812,9316
2008,531,30,501,167,40,127,251,20,231,90,703,859,10175
2009,547,52,495,180,46,134,241,21,220,119,812,849,11024
2010,557,38,519,192,43,149,223,14,209,95,921,877,11901
2011,493,53,440,144,89,55,257,17,240,159,1030,735,12636
2012,432,62,370,84,89,-5,202,11,191,162,1139,556,13192
2013,332,63,269,105,16,89,189,9,180,88,1248,538,13730
2014,265,48,217,74,75,-1,112,3,109,126,1357,325,14055
2015,220,32,188,50,16,34,103,3,100,51,1466,322,14377